id,county,state,stateab,prez,obamapct,romneypct,age,kids,seniors,hhincome,hhsize,hhoccupied,gradHS,gradColl,gradGrad,whiteperc,blackperc,hispperc,foreign,majMin,minPop,urbanrural,,gradCollONLY
1065,Hale,Alabama,Ala.,O,0.625766162,0.371227015,40.4,0.059,0.152,30051,2.56,0.78,0.412,0.128,0.038,0.398,0.59,0.003,0.012,y,60.2,U,,0.09
1067,Henry,Alabama,Ala.,R,0.351699749,0.64202601,42.9,0.055,0.181,41650,2.44,0.777,0.351,0.166,0.069,0.679,0.274,0.024,0.029,n,32.1,U,,0.097
1069,Houston,Alabama,Ala.,R,0.294564596,0.697170351,38.3,0.066,0.145,40948,2.58,0.646,0.34,0.197,0.07,0.682,0.256,0.031,0.024,n,31.8,U,,0.126
1071,Jackson,Alabama,Ala.,R,0.282183017,0.699835207,41.4,0.056,0.165,37634,2.53,0.752,0.373,0.13,0.053,0.899,0.033,0.026,0.022,n,10.1,S,,0.078
1073,Jefferson,Alabama,Ala.,O,0.525004679,0.465262066,37,0.067,0.132,45429,2.48,0.647,0.266,0.3,0.116,0.514,0.421,0.038,0.041,n,48.6,U,,0.184
1075,Lamar,Alabama,Ala.,R,0.229375697,0.760451505,42.6,0.058,0.188,36028,2.32,0.715,0.381,0.095,0.035,0.86,0.117,0.013,0.006,n,14,R,,0.061
1077,Lauderdale,Alabama,Ala.,R,0.337842947,0.645684813,40.4,0.056,0.169,42844,2.36,0.699,0.343,0.211,0.08,0.853,0.1,0.023,0.021,n,14.7,U,,0.132
1079,Lawrence,Alabama,Ala.,R,0.358283856,0.627226463,41,0.062,0.144,38551,2.52,0.801,0.389,0.119,0.038,0.766,0.109,0.019,0.01,n,23.4,U,,0.081
1081,Lee,Alabama,Ala.,R,0.392340722,0.590758955,29.6,0.06,0.091,43542,2.49,0.617,0.264,0.325,0.14,0.691,0.227,0.035,0.051,n,30.9,U,,0.185
1083,Limestone,Alabama,Ala.,R,0.276561621,0.711733258,38.7,0.065,0.124,48619,2.56,0.766,0.309,0.227,0.072,0.782,0.127,0.056,0.043,n,21.8,U,,0.155
1085,Lowndes,Alabama,Ala.,O,0.763923967,0.23341752,40.7,0.062,0.147,26230,2.61,0.749,0.368,0.144,0.041,0.252,0.738,0.007,0.002,y,74.8,U,,0.103
1087,Macon,Alabama,Ala.,O,0.870046172,0.128030012,36.6,0.052,0.143,30724,2.29,0.657,0.302,0.196,0.094,0.158,0.805,0.014,0.011,y,84.2,R,,0.102
1089,Madison,Alabama,Ala.,R,0.398995033,0.584733767,37.3,0.062,0.123,58434,2.5,0.693,0.214,0.385,0.145,0.661,0.238,0.046,0.054,n,33.9,U,,0.24
1091,Marengo,Alabama,Ala.,O,0.53426319,0.462271507,41.1,0.061,0.17,35079,2.42,0.713,0.399,0.174,0.062,0.458,0.516,0.019,0.007,y,54.2,R,,0.112
1093,Marion,Alabama,Ala.,R,0.185423365,0.799488828,43.2,0.057,0.187,32888,2.34,0.759,0.356,0.095,0.039,0.923,0.04,0.022,0.01,n,7.7,R,,0.056
1095,Marshall,Alabama,Ala.,R,0.192960422,0.792396765,38.1,0.073,0.149,39526,2.7,0.719,0.326,0.152,0.053,0.835,0.016,0.124,0.08,n,16.5,S,,0.099
1097,Mobile,Alabama,Ala.,R,0.449697385,0.541812264,36.6,0.068,0.13,43028,2.6,0.666,0.33,0.207,0.07,0.588,0.347,0.025,0.032,n,41.2,U,,0.137
1099,Monroe,Alabama,Ala.,R,0.458523841,0.535690958,40,0.061,0.157,29203,2.71,0.74,0.39,0.106,0.029,0.548,0.418,0.01,0.009,n,45.2,R,,0.077
1101,Montgomery,Alabama,Ala.,O,0.618074402,0.375557232,34.7,0.069,0.12,44790,2.49,0.614,0.262,0.315,0.12,0.379,0.549,0.035,0.043,y,62.1,U,,0.194
1103,Morgan,Alabama,Ala.,R,0.271720011,0.715562385,38.7,0.063,0.142,44800,2.55,0.715,0.316,0.199,0.067,0.773,0.117,0.076,0.051,n,22.7,U,,0.132
1105,Perry,Alabama,Ala.,O,0.748729716,0.24684478,37,0.072,0.168,28209,2.84,0.67,0.385,0.104,0.04,0.299,0.683,0.006,0.005,y,70.1,R,,0.064
1107,Pickens,Alabama,Ala.,R,0.463049579,0.53258497,41.4,0.06,0.17,28741,2.42,0.72,0.419,0.11,0.037,0.559,0.413,0.018,0.003,n,44.1,U,,0.073
1109,Pike,Alabama,Ala.,R,0.427317142,0.563832047,31.3,0.055,0.128,33090,2.4,0.578,0.354,0.23,0.088,0.573,0.364,0.023,0.04,n,42.7,S,,0.142
1111,Randolph,Alabama,Ala.,R,0.295365128,0.693215622,40.7,0.057,0.175,35213,2.48,0.723,0.367,0.111,0.04,0.753,0.202,0.029,0.017,n,24.7,R,,0.071
1113,Russell,Alabama,Ala.,O,0.555261766,0.4377578,35.6,0.077,0.126,36143,2.6,0.613,0.321,0.16,0.045,0.512,0.415,0.042,0.022,n,48.8,U,,0.115
1115,St. Clair,Alabama,Ala.,R,0.164637434,0.823925074,38.8,0.067,0.133,50786,2.63,0.815,0.351,0.155,0.051,0.869,0.09,0.021,0.018,n,13.1,U,,0.104
1117,Shelby,Alabama,Ala.,R,0.216201937,0.770265899,36.9,0.067,0.108,68770,2.64,0.79,0.214,0.403,0.129,0.795,0.112,0.059,0.06,n,20.5,U,,0.274
1119,Sumter,Alabama,Ala.,O,0.771123755,0.225604552,37.1,0.057,0.15,22186,2.57,0.647,0.381,0.149,0.065,0.244,0.731,0.008,0.009,y,75.6,R,,0.084
1121,Talladega,Alabama,Ala.,R,0.416118027,0.57595164,39.4,0.06,0.142,35439,2.5,0.712,0.373,0.13,0.049,0.643,0.318,0.021,0.016,n,35.7,S,,0.082
1123,Tallapoosa,Alabama,Ala.,R,0.335207681,0.657577847,41.8,0.059,0.175,39130,2.49,0.722,0.357,0.163,0.056,0.693,0.272,0.025,0.019,n,30.7,R,,0.107
1125,Tuscaloosa,Alabama,Ala.,R,0.406845072,0.580764739,31.4,0.06,0.109,45408,2.76,0.644,0.31,0.27,0.109,0.643,0.301,0.031,0.035,n,35.7,U,,0.161
1127,Walker,Alabama,Ala.,R,0.229386042,0.757425223,41.5,0.059,0.164,37566,2.55,0.75,0.353,0.105,0.038,0.901,0.054,0.021,0.012,n,9.9,U,,0.067
1129,Washington,Alabama,Ala.,R,0.338682144,0.655627632,39.5,0.054,0.148,42156,2.59,0.865,0.484,0.095,0.03,0.654,0.241,0.011,0.009,n,34.6,R,,0.065
1131,Wilcox,Alabama,Ala.,O,0.742639207,0.256140351,38.8,0.056,0.152,23642,2.9,0.745,0.423,0.111,0.027,0.269,0.728,0.002,0.001,y,73.1,R,,0.084
1133,Winston,Alabama,Ala.,R,0.132195724,0.854440789,43.1,0.053,0.18,32900,2.52,0.749,0.323,0.104,0.043,0.947,0.006,0.027,0.011,n,5.3,R,,0.061
2013,Aleutians East,Alaska,Alaska,R,0.408,0.548,40.7,0.022,0.038,61250,2.46,0.547,0.416,0.12,0.008,0.134,0.118,0.135,0.566,y,86.6,R,,0.111
2016,Aleutians West,Alaska,Alaska,R,0.408,0.548,39.1,0.037,0.056,81853,3.52,0.364,0.366,0.133,0.042,0.302,0.063,0.107,0.349,y,69.8,R,,0.091
2020,Anchorage,Alaska,Alaska,R,0.408,0.548,32.9,0.075,0.075,77454,2.73,0.606,0.232,0.328,0.117,0.618,0.056,0.08,0.094,n,38.2,U,,0.211
2050,Bethel,Alaska,Alaska,R,0.408,0.548,26.1,0.106,0.059,51689,3.9,0.642,0.408,0.117,0.038,0.112,0.006,0.014,0.012,y,88.8,R,,0.078
2060,Bristol Bay,Alaska,Alaska,R,0.408,0.548,42.7,0.041,0.095,79531,2.42,0.573,0.261,0.194,0.078,0.532,0.001,0.055,0.006,n,46.8,R,,0.117
2068,Denali,Alaska,Alaska,R,0.408,0.548,41.4,0.065,0.059,72500,2.26,0.689,0.26,0.281,0.068,0.875,0.006,0.026,0.074,n,12.5,R,,0.212
2070,Dillingham,Alaska,Alaska,R,0.408,0.548,28.6,0.095,0.075,54150,3.59,0.578,0.314,0.178,0.063,0.179,0.004,0.023,0.015,y,82.1,R,,0.114
2090,Fairbanks North Star,Alaska,Alaska,R,0.408,0.548,30.7,0.08,0.065,69223,2.67,0.592,0.254,0.29,0.121,0.731,0.044,0.066,0.057,n,26.9,U,,0.169
2100,Haines,Alaska,Alaska,R,0.408,0.548,42.9,0.052,0.139,52866,2.01,0.642,0.306,0.301,0.076,0.802,0.004,0.009,0.05,n,19.8,R,,0.225
2105,Hoonah-Angoon,Alaska,Alaska,R,0.408,0.548,48.3,0.043,0.15,49545,2.23,0.634,0.293,0.269,0.101,0.475,0.004,0.023,0.03,y,52.5,R,,0.169
2110,Juneau,Alaska,Alaska,R,0.408,0.548,37.8,0.062,0.083,81490,2.58,0.645,0.223,0.367,0.143,0.668,0.011,0.056,0.065,n,33.2,S,,0.224
2122,Kenai Peninsula,Alaska,Alaska,R,0.408,0.548,40.9,0.061,0.113,61793,2.5,0.727,0.317,0.237,0.08,0.825,0.006,0.033,0.026,n,17.5,R,,0.157
2130,Ketchikan Gateway,Alaska,Alaska,R,0.408,0.548,38.4,0.063,0.098,62519,2.5,0.585,0.332,0.254,0.08,0.654,0.002,0.044,0.073,n,34.6,S,,0.174
2150,Kodiak Island,Alaska,Alaska,R,0.408,0.548,31.5,0.085,0.069,68718,2.97,0.569,0.263,0.2,0.058,0.521,0.006,0.078,0.142,n,47.9,R,,0.142
2164,Lake and Peninsula,Alaska,Alaska,R,0.408,0.548,28.7,0.099,0.068,51786,2.83,0.644,0.355,0.154,0.059,0.221,0.005,0.017,0.017,y,77.9,R,,0.095
2170,Matanuska-Susitna,Alaska,Alaska,R,0.408,0.548,34.8,0.076,0.08,71037,2.89,0.767,0.315,0.213,0.066,0.821,0.008,0.04,0.034,n,17.9,U,,0.147
2180,Nome,Alaska,Alaska,R,0.408,0.548,28,0.116,0.063,49974,3.37,0.551,0.4,0.171,0.046,0.166,0.009,0.015,0.014,y,83.4,R,,0.125
2185,North Slope,Alaska,Alaska,R,0.408,0.548,34.2,0.08,0.043,80761,3.48,0.483,0.334,0.145,0.043,0.321,0.004,0.03,0.053,y,67.9,R,,0.102
2188,Northwest Arctic,Alaska,Alaska,R,0.408,0.548,25.7,0.116,0.062,61607,4,0.56,0.421,0.11,0.051,0.115,0.006,0.011,0.012,y,88.5,R,,0.059
2195,Petersburg,Alaska,Alaska,R,0.408,0.548,42.2,0.08,0.103,63934,2.2,0.692,0.308,0.257,0.086,0.698,0.016,0.054,0.046,n,30.2,R,,0.172
2201,Prince of Wales-Hyder,Alaska,Alaska,R,0.408,0.548,39,0.072,0.1,46071,2.49,0.707,0.43,0.157,0.048,0.489,0.002,0.027,0.014,y,51.1,R,,0.11
2220,Sitka,Alaska,Alaska,R,0.408,0.548,38.8,0.066,0.11,69405,2.42,0.562,0.215,0.341,0.129,0.635,0.008,0.053,0.077,n,36.5,R,,0.212
2232,Skagway,Alaska,Alaska,R,0.408,0.548,46.7,0.098,0.088,71667,2.23,0.592,0.304,0.243,0.05,0.772,0,0.011,0.089,n,22.8,R,,0.193
2240,Southeast Fairbanks,Alaska,Alaska,R,0.408,0.548,36.3,0.076,0.092,56801,2.84,0.665,0.305,0.231,0.08,0.779,0.015,0.04,0.091,n,22.1,R,,0.151
2261,Valdez-Cordova,Alaska,Alaska,R,0.408,0.548,39.6,0.059,0.084,74878,2.73,0.745,0.243,0.239,0.082,0.709,0.004,0.039,0.046,n,29.1,R,,0.157
2270,Wade Hampton,Alaska,Alaska,R,0.408,0.548,21.8,0.122,0.052,40176,4.39,0.711,0.46,0.054,0.016,0.036,0.002,0.002,0.006,y,96.4,R,,0.038
2280,Wrangell,Alaska,Alaska,R,0.408,0.548,50.8,0.033,0.204,45841,2.01,0.714,0.379,0.167,0.033,0.658,0.001,0.026,0.028,n,34.2,R,,0.134
2282,Yakutat,Alaska,Alaska,R,0.408,0.548,39.1,0.037,0.087,72500,2.15,0.496,0.308,0.227,0.053,0.353,0.064,0.018,0.059,y,64.7,R,,0.174
2290,Yukon-Koyukuk,Alaska,Alaska,R,0.408,0.548,35.6,0.077,0.108,34710,2.72,0.704,0.371,0.093,0.029,0.218,0.001,0.014,0.011,y,78.2,R,,0.063
4001,Apache,Arizona,Ariz.,O,0.661612069,0.31832388,32.1,0.083,0.118,31476,3.7,0.765,0.321,0.104,0.037,0.198,0.004,0.06,0.017,y,80.2,R,,0.067
4003,Cochise,Arizona,Ariz.,R,0.376943558,0.599520335,39.9,0.064,0.174,45755,2.47,0.688,0.241,0.225,0.084,0.579,0.036,0.329,0.116,n,42.1,U,,0.141
4005,Coconino,Arizona,Ariz.,O,0.563046072,0.408375351,30.9,0.067,0.091,49555,2.74,0.595,0.224,0.311,0.132,0.55,0.012,0.137,0.053,n,45,U,,0.179
4007,Gila,Arizona,Ariz.,R,0.356425098,0.623060894,47.8,0.058,0.233,39954,2.54,0.758,0.31,0.161,0.07,0.65,0.005,0.182,0.034,n,35,S,,0.091
4009,Graham,Arizona,Ariz.,R,0.303149937,0.678370433,31.8,0.083,0.116,44943,3.01,0.743,0.343,0.123,0.05,0.523,0.019,0.309,0.05,n,47.7,S,,0.074
4011,Greenlee,Arizona,Ariz.,R,0.438713999,0.533154722,33.7,0.078,0.118,47992,2.54,0.461,0.382,0.111,0.03,0.476,0.009,0.475,0.047,y,52.4,R,,0.081
4012,La Paz,Arizona,Ariz.,R,0.327811683,0.647602441,54.1,0.048,0.332,35776,1.97,0.74,0.336,0.093,0.03,0.616,0.009,0.242,0.135,n,38.4,R,,0.062
4013,Maricopa,Arizona,Ariz.,R,0.436137496,0.54301757,34.6,0.074,0.122,53596,2.72,0.625,0.233,0.298,0.106,0.582,0.048,0.297,0.149,n,41.8,U,,0.192
4015,Mohave,Arizona,Ariz.,R,0.27774144,0.699124104,47.4,0.055,0.233,39200,2.43,0.694,0.347,0.119,0.043,0.791,0.01,0.151,0.069,n,20.9,U,,0.076
4017,Navajo,Arizona,Ariz.,R,0.452288803,0.530735353,34.8,0.08,0.134,36927,3.05,0.72,0.282,0.149,0.057,0.434,0.004,0.109,0.026,y,56.6,S,,0.091
4019,Pima,Arizona,Ariz.,O,0.525222289,0.456136001,37.7,0.064,0.156,45841,2.5,0.627,0.227,0.298,0.122,0.547,0.033,0.35,0.128,n,45.3,U,,0.176
4021,Pinal,Arizona,Ariz.,R,0.407666403,0.571198543,35.8,0.078,0.144,50027,2.87,0.744,0.296,0.18,0.062,0.583,0.045,0.288,0.101,n,41.7,U,,0.118
4023,Santa Cruz,Arizona,Ariz.,O,0.681906405,0.304435339,35.5,0.08,0.135,37745,3.11,0.663,0.279,0.198,0.064,0.159,0.003,0.827,0.335,y,84.1,S,,0.134
4025,Yavapai,Arizona,Ariz.,R,0.336932659,0.640408475,49.3,0.049,0.243,42987,2.28,0.7,0.26,0.242,0.087,0.817,0.005,0.137,0.068,n,18.3,U,,0.156
4027,Yuma,Arizona,Ariz.,R,0.429230148,0.555035296,33.6,0.077,0.16,41595,2.73,0.696,0.253,0.143,0.046,0.347,0.018,0.601,0.253,y,65.3,U,,0.096
5001,Arkansas,Arkansas,Ark.,R,0.378041269,0.600092393,41.5,0.061,0.166,39633,2.36,0.675,0.451,0.124,0.046,0.707,0.247,0.028,0.022,n,29.3,R,,0.078
5003,Ashley,Arkansas,Ark.,R,0.360939275,0.614442621,39.5,0.065,0.163,35683,2.47,0.756,0.448,0.122,0.037,0.681,0.255,0.05,0.021,n,31.9,R,,0.085
5005,Baxter,Arkansas,Ark.,R,0.267438854,0.707792544,50.8,0.045,0.281,35343,2.24,0.765,0.367,0.165,0.042,0.955,0.004,0.018,0.019,n,4.5,S,,0.123
5007,Benton,Arkansas,Ark.,R,0.285602534,0.689478532,34.5,0.079,0.122,54515,2.74,0.686,0.311,0.287,0.091,0.76,0.012,0.157,0.109,n,24,U,,0.195
5009,Boone,Arkansas,Ark.,R,0.245078293,0.725034111,41.4,0.06,0.183,38506,2.43,0.726,0.382,0.154,0.054,0.948,0.003,0.021,0.013,n,5.2,S,,0.1
5011,Bradley,Arkansas,Ark.,R,0.396768894,0.584337349,40.2,0.068,0.173,30409,2.32,0.688,0.426,0.108,0.031,0.575,0.278,0.136,0.067,n,42.5,R,,0.077
5013,Calhoun,Arkansas,Ark.,R,0.303587856,0.670653174,42.4,0.045,0.178,30980,2.55,0.8,0.49,0.074,0.023,0.732,0.252,0.008,0,n,26.8,S,,0.052
5015,Carroll,Arkansas,Ark.,R,0.362957871,0.601492684,44.2,0.061,0.189,36584,2.47,0.732,0.38,0.173,0.054,0.829,0.002,0.135,0.068,n,17.1,R,,0.119
5017,Chicot,Arkansas,Ark.,O,0.607429489,0.382939693,42.5,0.068,0.182,26201,2.41,0.663,0.424,0.126,0.038,0.399,0.538,0.049,0.033,y,60.1,R,,0.088
5019,Clark,Arkansas,Ark.,R,0.4532049,0.516470448,33.6,0.054,0.15,32721,2.41,0.635,0.359,0.214,0.094,0.701,0.238,0.042,0.026,n,29.9,S,,0.12
5021,Clay,Arkansas,Ark.,R,0.340117417,0.63111546,42.9,0.055,0.201,31502,2.3,0.726,0.435,0.095,0.03,0.965,0.002,0.015,0.009,n,3.5,R,,0.066
5023,Cleburne,Arkansas,Ark.,R,0.224950631,0.746372456,46.4,0.051,0.237,40246,2.47,0.769,0.379,0.168,0.058,0.954,0.007,0.022,0.02,n,4.6,R,,0.11
5025,Cleveland,Arkansas,Ark.,R,0.258726271,0.708205756,40.2,0.063,0.16,39420,2.56,0.775,0.444,0.138,0.03,0.851,0.13,0.006,0.004,n,14.9,U,,0.107
5027,Columbia,Arkansas,Ark.,R,0.376203067,0.612374405,36.1,0.058,0.159,35128,2.43,0.689,0.373,0.203,0.062,0.593,0.365,0.024,0.029,n,40.7,S,,0.141
5029,Conway,Arkansas,Ark.,R,0.388745149,0.583958603,40.4,0.064,0.172,35225,2.57,0.74,0.434,0.147,0.046,0.822,0.118,0.037,0.019,n,17.8,R,,0.101
5031,Craighead,Arkansas,Ark.,R,0.332082019,0.641955836,33.1,0.072,0.12,41393,2.51,0.583,0.336,0.244,0.086,0.793,0.135,0.045,0.037,n,20.7,U,,0.158
5033,Crawford,Arkansas,Ark.,R,0.237045311,0.735515516,38,0.068,0.135,39479,2.62,0.743,0.378,0.143,0.045,0.864,0.013,0.063,0.041,n,13.6,U,,0.099
5035,Crittenden,Arkansas,Ark.,O,0.567540081,0.418640823,33.8,0.084,0.109,37751,2.72,0.563,0.349,0.139,0.036,0.45,0.504,0.021,0.017,y,55,U,,0.103
5037,Cross,Arkansas,Ark.,R,0.341116599,0.638976201,39.4,0.064,0.155,38085,2.57,0.654,0.472,0.114,0.035,0.741,0.22,0.016,0.007,n,25.9,R,,0.079
5039,Dallas,Arkansas,Ark.,R,0.433527886,0.539883268,42.9,0.05,0.183,28931,2.32,0.664,0.533,0.102,0.03,0.538,0.411,0.025,0.025,n,46.2,R,,0.072
5041,Desha,Arkansas,Ark.,O,0.552714932,0.428959276,39.1,0.077,0.156,28680,2.39,0.559,0.408,0.127,0.036,0.467,0.479,0.045,0.018,y,53.3,R,,0.091
5043,Drew,Arkansas,Ark.,R,0.396502337,0.586009347,37.5,0.061,0.147,31171,2.37,0.612,0.366,0.191,0.059,0.674,0.283,0.026,0.019,n,32.6,R,,0.132
5045,Faulkner,Arkansas,Ark.,R,0.328533526,0.644524843,31.4,0.07,0.101,50314,2.62,0.652,0.31,0.272,0.091,0.821,0.106,0.039,0.029,n,17.9,U,,0.181
5047,Franklin,Arkansas,Ark.,R,0.263914373,0.708103976,40.8,0.062,0.169,36766,2.61,0.74,0.391,0.124,0.042,0.933,0.008,0.024,0.008,n,6.7,R,,0.081
5049,Fulton,Arkansas,Ark.,R,0.32109686,0.652145069,46.9,0.052,0.232,35522,2.35,0.781,0.417,0.1,0.043,0.962,0.002,0.01,0.011,n,3.8,R,,0.058
5051,Garland,Arkansas,Ark.,R,0.338931448,0.638725201,44.2,0.056,0.207,39162,2.37,0.686,0.32,0.209,0.076,0.836,0.082,0.05,0.036,n,16.4,U,,0.132
5053,Grant,Arkansas,Ark.,R,0.226578176,0.74533107,39.4,0.065,0.144,49004,2.59,0.778,0.397,0.176,0.059,0.936,0.024,0.023,0.019,n,6.4,U,,0.117
5055,Greene,Arkansas,Ark.,R,0.29067655,0.659181746,37.8,0.067,0.142,38413,2.53,0.633,0.428,0.147,0.051,0.951,0.007,0.023,0.011,n,4.9,S,,0.096
5057,Hempstead,Arkansas,Ark.,R,0.356595868,0.618985696,38.6,0.076,0.151,32056,2.67,0.68,0.379,0.141,0.04,0.563,0.296,0.122,0.057,n,43.7,R,,0.102
5059,Hot Spring,Arkansas,Ark.,R,0.340142096,0.630284192,39.6,0.061,0.157,41193,2.58,0.725,0.411,0.123,0.043,0.836,0.115,0.03,0.009,n,16.4,S,,0.08
5061,Howard,Arkansas,Ark.,R,0.329672792,0.648139848,37.1,0.074,0.151,35879,2.6,0.633,0.375,0.12,0.047,0.669,0.214,0.1,0.062,n,33.1,R,,0.074
5063,Independence,Arkansas,Ark.,R,0.264660805,0.7040413,38,0.068,0.157,35026,2.46,0.706,0.398,0.144,0.047,0.895,0.026,0.059,0.036,n,10.5,S,,0.096
